"filename", "language", "CSS", "JavaScript", "JSON", "HTML", "JavaScript React", "comment", "blank", "total"
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\index.html", "HTML", 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\package-lock.json", "JSON", 0, 0, 29129, 0, 0, 0, 1, 29130
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\package.json", "JSON", 0, 0, 44, 0, 0, 0, 1, 45
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\App.css", "CSS", 70, 0, 0, 0, 0, 0, 9, 79
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\App.js", "JavaScript", 0, 43, 0, 0, 0, 2, 6, 51
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\home\CardGroupHome.jsx", "JavaScript React", 0, 0, 0, 0, 66, 0, 3, 69
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\home\Home.jsx", "JavaScript React", 0, 0, 0, 0, 21, 0, 3, 24
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\home\ResourceList.jsx", "JavaScript React", 0, 0, 0, 0, 15, 0, 2, 17
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\home\home.css", "CSS", 41, 0, 0, 0, 0, 0, 8, 49
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\home\home.html", "HTML", 0, 0, 0, 147, 0, 13, 9, 169
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\index.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\navbar\Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 24, 1, 3, 28
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\navbar\navbar.css", "CSS", 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\jadec\WelcomingWeb\WelcomingWeb\src\components\phishingQuiz\Answer.js", "JavaScript", 0, 25, 0, 0, 0, 0, 1, 26
